"","year","gear","julian","fish","CU_no","CU","prob"
"316",1985,"Fish Wheel",210,40,72,"Pelly",0.9943
"317",1985,"Fish Wheel",210,40,71,"Norden",0
"318",1985,"Fish Wheel",210,40,73,"MidYR",0.0013
"319",1985,"Fish Wheel",210,40,68,"Teslin",0
"320",1985,"Fish Wheel",210,40,69,"UpperYR",0
"321",1985,"Fish Wheel",210,41,76,"NYR",0
"322",1985,"Fish Wheel",210,41,75,"White",0
"323",1985,"Fish Wheel",210,41,74,"Stew",0.0141
"324",1985,"Fish Wheel",210,41,72,"Pelly",0.0015
"325",1985,"Fish Wheel",210,41,71,"Norden",0
"326",1985,"Fish Wheel",210,41,73,"MidYR",0.5529
"327",1985,"Fish Wheel",210,41,68,"Teslin",0.4264
"328",1985,"Fish Wheel",210,41,69,"UpperYR",0.0043
"329",1985,"Fish Wheel",211,42,76,"NYR",0
"330",1985,"Fish Wheel",211,42,75,"White",0
"331",1985,"Fish Wheel",211,42,74,"Stew",4e-04
"332",1985,"Fish Wheel",211,42,72,"Pelly",0
"333",1985,"Fish Wheel",211,42,71,"Norden",0
"334",1985,"Fish Wheel",211,42,73,"MidYR",1e-04
"335",1985,"Fish Wheel",211,42,68,"Teslin",0.9995
"336",1985,"Fish Wheel",211,42,69,"UpperYR",0
"337",1985,"Fish Wheel",211,43,76,"NYR",0.0084
"338",1985,"Fish Wheel",211,43,75,"White",0.1737
"339",1985,"Fish Wheel",211,43,74,"Stew",0.0137
"340",1985,"Fish Wheel",211,43,72,"Pelly",0.6998
"341",1985,"Fish Wheel",211,43,71,"Norden",0
"342",1985,"Fish Wheel",211,43,73,"MidYR",0.1037
"343",1985,"Fish Wheel",211,43,68,"Teslin",0
"344",1985,"Fish Wheel",211,43,69,"UpperYR",0
"345",1985,"Fish Wheel",211,44,76,"NYR",0
"346",1985,"Fish Wheel",211,44,75,"White",0.0467
"347",1985,"Fish Wheel",211,44,74,"Stew",0.0076
"348",1985,"Fish Wheel",211,44,72,"Pelly",0.9153
"349",1985,"Fish Wheel",211,44,71,"Norden",0
"350",1985,"Fish Wheel",211,44,73,"MidYR",0.0293
"351",1985,"Fish Wheel",211,44,68,"Teslin",7e-04
"352",1985,"Fish Wheel",211,44,69,"UpperYR",0
"353",1985,"Fish Wheel",211,45,76,"NYR",0.0959
"354",1985,"Fish Wheel",211,45,75,"White",0
"355",1985,"Fish Wheel",211,45,74,"Stew",0.4588
"356",1985,"Fish Wheel",211,45,72,"Pelly",0.1076
"357",1985,"Fish Wheel",211,45,71,"Norden",0
"358",1985,"Fish Wheel",211,45,73,"MidYR",0.3313
"359",1985,"Fish Wheel",211,45,68,"Teslin",0.0032
"360",1985,"Fish Wheel",211,45,69,"UpperYR",0
"361",1985,"Fish Wheel",211,46,76,"NYR",4e-04
"362",1985,"Fish Wheel",211,46,75,"White",0.0019
"363",1985,"Fish Wheel",211,46,74,"Stew",0.111
"364",1985,"Fish Wheel",211,46,72,"Pelly",0.885
"365",1985,"Fish Wheel",211,46,71,"Norden",0
"366",1985,"Fish Wheel",211,46,73,"MidYR",0.0017
"367",1985,"Fish Wheel",211,46,68,"Teslin",0
"368",1985,"Fish Wheel",211,46,69,"UpperYR",0
"369",1985,"Fish Wheel",211,47,76,"NYR",0.0063
"370",1985,"Fish Wheel",211,47,75,"White",0.0073
"371",1985,"Fish Wheel",211,47,74,"Stew",0.0782
"372",1985,"Fish Wheel",211,47,72,"Pelly",0
"373",1985,"Fish Wheel",211,47,71,"Norden",0
"374",1985,"Fish Wheel",211,47,73,"MidYR",0.8085
"375",1985,"Fish Wheel",211,47,68,"Teslin",0.0938
"376",1985,"Fish Wheel",211,47,69,"UpperYR",0
"377",1985,"Fish Wheel",211,48,76,"NYR",0.9904
"378",1985,"Fish Wheel",211,48,75,"White",0
"379",1985,"Fish Wheel",211,48,74,"Stew",0.0077
"380",1985,"Fish Wheel",211,48,72,"Pelly",3e-04
"381",1985,"Fish Wheel",211,48,71,"Norden",0
"382",1985,"Fish Wheel",211,48,73,"MidYR",6e-04
